_tid_,RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB
910,2,2,3,47,1,1,2,6,2,47,1
911,1,2,2,39,1,1,2,3,1,39,1
912,1,2,3,48,1,1,2,7,1,48,1
913,1,1,3,48,1,1,2,7,1,48,1
914,1,2,4,53,1,1,2,9,1,53,1
915,1,2,3,48,1,1,1,7,1,48,1
916,2,1,3,37,1,1,2,5,2,37,1
917,9,1,2,39,1,1,2,3,68,39,1
918,1,2,2,38,1,1,2,4,1,38,1
919,1,1,2,19,1,1,2,4,1,46,1
920,1,1,4,6,1,1,2,9,1,6,1
921,1,2,3,48,1,1,2,7,1,48,1
922,1,2,9,72,2,1,1,0,1,72,2
923,1,2,2,27,1,1,2,4,1,27,1
924,1,2,3,48,1,1,2,7,1,48,1
925,1,1,2,29,1,1,2,4,1,29,1
926,1,2,1,42,1,1,1,2,1,42,1
927,1,1,1,25,1,1,2,1,1,25,1
928,1,1,3,48,1,1,2,7,1,48,1
929,1,1,4,53,1,1,2,9,1,6,1
930,9,1,1,36,1,1,2,2,68,36,1
931,8,2,3,12,1,1,2,5,67,12,1
932,1,1,4,6,1,1,2,9,1,6,1
933,2,2,3,28,1,1,2,6,2,28,1
934,9,2,3,12,1,1,2,5,68,34,1
935,1,2,3,48,1,1,2,7,1,48,1
936,8,2,4,6,1,1,2,9,67,6,1
937,2,1,3,13,1,1,1,5,2,13,1
938,9,1,4,15,1,1,2,9,68,15,1
939,1,2,1,42,1,1,2,2,1,42,1
940,1,1,2,27,1,1,1,4,1,27,1
941,1,2,3,47,1,1,1,6,1,47,1
942,1,2,3,37,1,1,2,5,1,37,1
943,9,1,3,48,1,1,2,7,68,48,1
944,1,1,2,27,1,1,2,4,1,27,1
945,1,2,3,10,1,1,2,5,1,10,1
946,1,2,4,49,1,1,2,8,1,49,1
947,1,2,3,1,1,1,2,6,1,1,1
948,1,2,3,51,1,1,2,5,1,11,1
949,1,1,9,72,2,1,2,0,1,72,2
950,1,2,4,8,1,1,2,8,1,6,1
951,1,1,3,37,1,1,2,5,1,45,1
952,2,1,3,24,1,1,2,5,2,11,1
953,1,1,3,24,1,1,2,5,1,42,1
954,1,2,2,18,1,1,2,3,1,18,1
955,1,1,2,26,1,1,2,3,1,26,1
956,1,2,4,41,1,1,1,9,1,36,1
957,8,2,1,9,1,1,2,1,67,9,1
958,6,1,3,12,1,1,2,5,1,6,1
959,1,1,3,1,1,1,2,6,1,1,1
960,1,1,2,39,1,1,2,3,1,39,1
961,1,1,2,55,1,1,2,3,1,55,1
962,1,2,2,39,1,1,2,3,1,39,1
963,1,2,3,48,1,1,2,7,1,48,1
964,1,2,1,25,1,1,2,2,1,34,1
965,1,2,3,2,1,1,2,7,1,12,1
966,1,2,2,17,1,1,2,3,1,17,1
967,1,1,4,53,1,1,2,9,1,55,1
968,1,2,3,12,1,1,2,5,1,12,1
969,1,2,4,32,1,1,2,8,1,32,1
970,1,1,2,18,1,1,1,3,1,39,1
971,1,2,4,41,1,1,2,9,1,13,1
972,1,2,4,30,1,1,2,8,1,30,1
973,1,2,1,42,1,1,2,2,1,42,1
974,1,1,4,53,1,1,2,9,1,25,1
975,8,1,1,44,1,1,2,1,67,44,1
976,1,2,1,36,1,1,1,2,1,36,1
977,1,2,1,36,1,1,1,2,1,36,1
978,1,2,2,39,1,1,2,3,1,39,1
979,1,1,4,6,1,1,2,9,1,32,1
980,1,2,2,55,1,1,2,3,1,55,1
981,1,2,2,27,1,1,2,4,1,27,1
982,1,2,4,53,1,1,2,9,1,53,1
983,1,1,3,48,1,1,2,7,1,48,1
984,2,2,3,51,1,1,2,5,2,51,1
