ID,RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
136,1,2,3,,1,,1,1,,,2,
137,1,2,3,,1,,1,1,,3.0,2,
138,1,2,3,32600.0,1,,1,1,4.0,16.0,2,4.0
139,1,2,3,0.0,1,,1,1,4.0,16.0,2,4.0
140,1,2,3,13800.0,1,,1,1,6.0,18.0,1,4.0
141,1,2,3,34800.0,1,1.0,1,1,1.0,16.0,1,4.0
142,1,2,3,15200.0,1,,1,1,3.0,16.0,2,4.0
143,1,1,3,,1,,1,1,,1.0,2,
144,1,1,3,2100.0,1,1.0,1,1,6.0,14.0,2,4.0
145,1,1,3,12400.0,1,1.0,1,1,6.0,14.0,1,4.0
146,2,2,3,,1,,1,1,,1.0,2,
147,1,2,3,51500.0,1,,1,1,3.0,18.0,2,4.0
148,1,2,3,0.0,1,,1,1,6.0,12.0,2,
149,1,1,3,6000.0,1,,1,1,6.0,12.0,2,
150,1,1,3,295300.0,1,6.0,1,1,1.0,19.0,2,4.0
151,1,2,3,52000.0,1,1.0,1,1,3.0,16.0,2,4.0
152,2,2,3,88000.0,1,5.0,1,1,6.0,21.0,2,4.0
153,1,2,3,0.0,1,,1,1,3.0,16.0,2,4.0
154,1,2,3,,1,,1,1,,2.0,2,
155,1,2,3,45000.0,1,4.0,1,1,6.0,22.0,2,4.0
156,1,1,3,26000.0,1,1.0,1,1,1.0,14.0,2,4.0
157,2,1,3,45000.0,1,1.0,1,1,6.0,19.0,2,4.0
158,1,2,3,11000.0,1,,1,1,1.0,17.0,1,4.0
159,2,2,3,25000.0,1,1.0,1,1,4.0,21.0,2,4.0
160,2,1,3,,1,,1,1,,8.0,2,
161,1,2,3,25000.0,1,1.0,1,1,6.0,20.0,2,4.0
162,1,1,3,14000.0,1,,1,1,4.0,13.0,1,4.0
163,1,2,3,128000.0,1,5.0,1,1,1.0,22.0,2,4.0
